word,CDC2013,CDC2014,CDC2015,CDC2016,ICML2013,ICML2014,ICML2015,ICML2016
upper bound,0.0003565306822077477,0.0004448226011260219,0.0003072554177044296,0.00031555402934652473,0.00029299199765606403,0.0002471042471042471,0.0005646627022639445,0.00013504046994083539
theoretical,0.0001668380756484973,0.00014223978524378607,0.00016061078652731547,0.00020418201898892777,0.00036623999707008,0.0005945945945945946,0.00048525700975807733,0.0004979617329068305
guarantee,0.0002445434807450577,0.0002120665889089174,0.00029561695491259513,0.00026450852459929277,0.000329615997363072,0.00044015444015444013,0.00045878844558945494,0.00037136129233729734
sample,6.856359273225918e-05,6.20682699245612e-05,8.146923954284119e-05,0.00011137201035759696,0.00043948799648409605,0.0006254826254826255,0.0005381941380953222,0.0006836423790754792
estimate,0.0003565306822077477,0.0003853405091149841,0.0003375154209631992,0.00048029179466713693,0.00021974399824204802,0.000277992277992278,0.00020292565862610506,0.0003460412042233907
strategy,0.0005119414924008685,0.0005146494047911532,0.0004795046670235795,0.00046172979294087076,0.00014649599882803202,0.00018532818532818532,0.0001058742566744896,0.00018568064616864867
objective function,0.00022854530910753056,0.0002275836563900577,0.00039105234980563766,0.0004918930457460533,0.000402863996777088,0.00037065637065637064,0.00014116567556598614,0.00030384105736687965
differential equation,0.0005485087418580734,0.0006517168342078925,0.0005772677544749889,0.0005104550474723194,0,3.088803088803089e-05,7.058283778299307e-05,0.00010128035245562654
convex optimization,0.0002925379956576391,0.00027930721466052537,0.0003351877284048323,0.000232025021578327,0.000402863996777088,0.0002471042471042471,0.00024703993224047574,0.00043888152730771503
measurement,0.0005393669294937721,0.00042154699990431144,0.0004841600521403133,0.0005104550474723194,0.00013733999890128002,0.00016216216216216215,9.705140195161547e-05,0.00011816041119823098
gradient,0.00012341446691806652,0.00014999831898435622,7.215846930937361e-05,0.000232025021578327,0.00029299199765606403,0.0003938223938223938,0.00041467417197508426,0.0007511626140458969
policy,0.00029482344874871445,0.00028447957048757214,0.0002304415632783222,0.00028307052632555894,0.000302147997582816,0.00033204633204633207,0.00044114273614370665,0.00025320088113906636
theoretical result,0.00030167980802194033,0.00015517067481140298,0.0002513907963036242,0.0003526780327990571,0.000329615997363072,0.00040154440154440156,0.0002117485133489792,0.00040512140982250616
local,0.00040681065021140443,0.00041896082199078806,0.0003305323432880985,0.00042228553927255516,0.00021974399824204802,0.00019305019305019305,0.0002117485133489792,0.00017724061679734646
